customer_id,first_name,last_name,age,gender,marital_status,education_level,occupation,annual_income,monthly_expenses,credit_score,num_dependents,years_employed,city,state,phone_number,email,has_existing_loan,num_credit_cards,registration_date,income_tier,savings_ratio,age_group,reg_year,reg_month,log_annual_income,log_monthly_expenses,gender_enc,has_existing_loan_enc,education_ord,marital_status_Married,marital_status_Single,marital_status_Widowed,occupation_Analyst,occupation_Businessman,occupation_Consultant,occupation_Designer,occupation_Doctor,occupation_Engineer,occupation_Lawyer,occupation_Manager,occupation_Nurse,occupation_Professor,occupation_Teacher,city_Bengaluru,city_Chennai,city_Delhi,city_Hyderabad,city_Jaipur,city_Kolkata,city_Lucknow,city_Mumbai,city_Pune,age_scaled,annual_income_scaled,monthly_expenses_scaled,credit_score_scaled,years_employed_scaled,num_dependents_scaled,num_credit_cards_scaled,savings_ratio_scaled,credit_risk_tier
CUST00001,Nisha,Patel,59,Female,Married,Diploma,Nurse,149488.15,19238.13,836.0,5,27.0,Mumbai,Maharashtra,9492756851,sachin.mehta249@example.com,False,0,2023-12-07,Low,-0.5443,51-60,2023,12,11.91497909392833,9.8647015049021,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.9654098820226072,0.3968615433381579,-0.13105121942429707,1.437813310618766,0.6557028781784539,1.4456990843047468,-1.5351350575594185,1.0235985364749287,Excellent
CUST00002,Rekha,Dubey,49,Male,Married,Bachelor'S,Designer,213563.41,29140.44,411.0,4,7.0,Bengaluru,Karnataka,9542600470,kiran.dubey141@example.com,False,3,2016-06-01,Low,-0.6374,41-50,2016,6,12.271693752335361,10.279916495137707,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2583916108411254,1.2672166819999366,0.5758827071509257,-1.122917706876738,-1.1070972244609956,0.8629125681915729,-0.24123961664962584,0.8508947582352892,Poor
CUST00003,Suresh,Shah,35,Female,Married,Phd,Engineer,159992.45,24638.63,710.0,4,7.0,Chennai,Tamil Nadu,9378965689,suresh.tiwari817@example.com,False,4,2020-10-29,Low,-0.848,31-40,2020,10,11.982888155878001,10.112111401300945,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.7314339688129493,0.5395448735820764,0.254494847146987,0.6786318795495107,-1.1070972244609956,0.8629125681915729,0.1900588636536384,0.4602243425825705,Good
CUST00004,Kavya,Rao,63,Male,Married,Bachelor'S,Manager,172499.91,25889.76,505.0,1,18.0,Hyderabad,Telangana,9267200433,lakshmi.iyer46@example.com,True,2,2022-06-11,Low,-0.801,60+,2022,6,12.058157790801955,10.161641427278042,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.2482171904952,0.7094377789344174,0.34381403060580185,-0.5565442583012619,-0.13755716800929832,-0.8854469801479491,-0.6725380969528901,0.547410997547802,Fair
CUST00005,Suresh,Malhotra,28,Female,Married,Master'S,Designer,101097.94,20823.64,484.0,0,37.0,Hyderabad,Telangana,9425958941,naveen.kumar62@example.com,False,1,2021-09-30,Low,-1.4717,21-30,2021,9,11.523854920284954,9.943892179970858,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.2263467586399865,-0.26043844942695277,-0.017860377093135878,-0.6830744968128044,1.5371029294981786,-1.468233496261123,-1.1038365772561542,-0.6967611191581731,Poor
CUST00006,Sachin,Singh,41,Other,Single,Bachelor'S,Lawyer,99390.23,14992.62,681.0,0,28.0,Delhi,Delhi,9111334226,swati.mishra131@example.com,True,4,2021-08-16,Low,-0.8102,41-50,2021,8,11.506819159375967,9.615380056271135,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.3072230061040601,-0.2836348308984304,-0.4341416149597201,0.5038996454145234,0.7438428833104264,-1.468233496261123,0.1900588636536384,0.5303446735971609,Good
CUST00007,Ananya,Tiwari,59,Female,Single,Master'S,Professor,115870.7,20332.77,795.0,2,22.0,Mumbai,Maharashtra,9100099158,rahul.singh320@example.com,True,7,2017-06-28,Low,-1.1057,51-60,2017,6,11.660238823498222,9.920038329666582,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.9654098820226072,-0.05977523591494871,-0.052903983740269625,1.1907780830486114,0.21500285251859155,-0.3026604640347751,1.4839543045634311,-0.0178182315565822,Excellent
CUST00008,Priya,Verma,39,Female,Single,High School,Analyst,153379.68,33257.75,678.0,1,31.0,Jaipur,Rajasthan,9661906534,priya.singh599@example.com,False,4,2016-03-12,Low,-1.602,31-40,2016,3,11.940678214742325,10.412073169358772,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.44862666034035653,0.4497214635750242,0.8698208009116172,0.4858238970557316,1.0082628987063438,-0.8854469801479491,0.1900588636536384,-0.9384722072851877,Good
CUST00009,Ravi,Nair,43,Male,Single,Master'S,Engineer,83283.92,11526.21,346.0,4,9.0,Mumbai,Maharashtra,9975507381,vikram.iyer447@example.com,False,4,2019-06-08,Low,-0.6608,41-50,2019,6,11.330022779353623,9.352465606531707,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.16581935186776375,-0.5024120886634335,-0.6816114308329476,-1.5145589213172268,-0.9308172141970505,0.8629125681915729,0.1900588636536384,0.8074869342738757,Poor
CUST00010,Naveen,Joshi,31,Female,Married,Bachelor'S,Analyst,106216.25,17582.59,850.0,0,26.0,Lucknow,Uttar Pradesh,9914211391,rohan.dubey526@example.com,True,3,2015-02-07,Low,-0.9864,31-40,2015,2,11.573241803978284,9.774721359720063,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.014241277285542,-0.19091477664335477,-0.2492415601430127,1.5221668029597943,0.5675628730464815,-1.468233496261123,-0.24123961664962584,0.20348746923814368,Excellent
